Marca temporal,Titulazioa,Kurtsoa,Adina,Género,Lengua materna,1. Porque creo que esta actividad es interesante.,2. Porque se supone que debo hacerlo.,3. Por mi propio bien,"4. Puede que haya buenas razones para realizar esta actividad, pero yo no veo ninguna",5. Porque disfruto con esta actividad,6. Porque creo que esta actividad es buena para mí,7. Porque es algo que tengo que hacer,"8. Realizo esta actividad, pero no estoy seguro de si vale la pena",9. Porque esta actividad es divertida,10. Por decisión personal,11. Porque no tengo otra alternativa,12. No lo sé, No veo qué me aporta esta actividad,13. Porque me siento bien realizando esta actividad,14. Porque creo que esta actividad es importante para mí,15. Porque creo que tengo que hacerlo,"16. Hago esta actividad, pero no estoy seguro de que sea conveniente continuar con ella"
2017/4/27 14:45:26,Matematika,4,38,Emakumea,Euskara,3. Poco,4. Moderadamente,5. Suficiente,3. Poco,5. Suficiente,6. Bastante,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,
2017/4/27 14:45:38,Matematika,4,21,Emakumea,Euskara,5. Suficiente,4. Moderadamente,5. Suficiente,3. Poco,4. Moderadamente,6. Bastante,5. Suficiente,4. Moderadamente,3. Poco,6. Bastante,1. No estoy de acuerdo en nada,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,1. No estoy de acuerdo en nada,
2017/4/27 14:46:00,Matematika,4,25,Emakumea,Euskara,4. Moderadamente,5. Suficiente,4. Moderadamente,2. Muy poco,3. Poco,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,3. Poco,3. Poco,2. Muy poco,4. Moderadamente,4. Moderadamente,5. Suficiente,2. Muy poco,
2017/4/27 14:46:09,Matematika,4,21,Emakumea,Español,4. Moderadamente,6. Bastante,3. Poco,6. Bastante,1. No estoy de acuerdo en nada,5. Suficiente,7. Muy de acuerdo,3. Poco,6. Bastante,2. Muy poco,5. Suficiente,5. Suficiente,5. Suficiente,3. Poco,5. Suficiente,3. Poco,
2017/4/27 14:48:11,Fisika,4,23,Emakumea,Euskara,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,
2017/4/27 14:48:36,Matematika,4,23,Emakumea,Español,5. Suficiente,5. Suficiente,6. Bastante,2. Muy poco,3. Poco,3. Poco,3. Poco,3. Poco,3. Poco,2. Muy poco,3. Poco,3. Poco,3. Poco,3. Poco,3. Poco,3. Poco,
2017/4/27 14:48:39,Fisika,4,25,Emakumea,Español,4. Moderadamente,6. Bastante,6. Bastante,5. Suficiente,6. Bastante,5. Suficiente,7. Muy de acuerdo,6. Bastante,6. Bastante,4. Moderadamente,4. Moderadamente,4. Moderadamente,3. Poco,6. Bastante,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,
2017/4/27 14:49:02,Matematika,4,22,Emakumea,Euskara,3. Poco,6. Bastante,3. Poco,5. Suficiente,2. Muy poco,2. Muy poco,6. Bastante,2. Muy poco,4. Moderadamente,1. No estoy de acuerdo en nada,6. Bastante,4. Moderadamente,3. Poco,2. Muy poco,5. Suficiente,5. Suficiente,
2017/4/27 14:49:16,Grado en Ingenieria Electrónica,4,25,Emakumea,Euskara,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,5. Suficiente,5. Suficiente,6. Bastante,4. Moderadamente,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,5. Suficiente,3. Poco,4. Moderadamente,3. Poco,
2017/4/27 14:49:51,Fisika,4,21,Emakumea,Euskara,6. Bastante,6. Bastante,3. Poco,1. No estoy de acuerdo en nada,4. Moderadamente,2. Muy poco,6. Bastante,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,4. Moderadamente,1. No estoy de acuerdo en nada,3. Poco,2. Muy poco,4. Moderadamente,1. No estoy de acuerdo en nada,
2017/4/27 14:52:07,Matematika,4,22,Emakumea,Euskara,4. Moderadamente,6. Bastante,7. Muy de acuerdo,4. Moderadamente,3. Poco,4. Moderadamente,6. Bastante,5. Suficiente,2. Muy poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,3. Poco,3. Poco,5. Suficiente,4. Moderadamente,
2017/4/27 14:54:02,Matematika,4,21,Emakumea,Euskara,5. Suficiente,7. Muy de acuerdo,3. Poco,3. Poco,3. Poco,5. Suficiente,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,2. Muy poco,6. Bastante,3. Poco,4. Moderadamente,4. Moderadamente,7. Muy de acuerdo,3. Poco,
2017/4/27 14:54:22,Matematika,4,21,Emakumea,Español,6. Bastante,6. Bastante,4. Moderadamente,2. Muy poco,6. Bastante,5. Suficiente,6. Bastante,4. Moderadamente,6. Bastante,1. No estoy de acuerdo en nada,5. Suficiente,3. Poco,4. Moderadamente,4. Moderadamente,6. Bastante,3. Poco,
2017/4/27 15:00:40,Matematika,4,21,Emakumea,Español,3. Poco,5. Suficiente,5. Suficiente,3. Poco,4. Moderadamente,3. Poco,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,2. Muy poco,3. Poco,3. Poco,3. Poco,2. Muy poco,6. Bastante,3. Poco,
2017/11/30 9:24:45,Lehen Hezkuntza,1,18,Emakumea,Español,5. Suficiente,5. Suficiente,6. Bastante,3. Poco,4. Moderadamente,6. Bastante,6. Bastante,2. Muy poco,3. Poco,4. Moderadamente,4. Moderadamente,5. Suficiente,4. Moderadamente,5. Suficiente,4. Moderadamente,4. Moderadamente,Opción 1
2017/11/30 9:33:31,Lehen Hezkuntza,1,18,Emakumea,Español,4. Moderadamente,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,6. Bastante,4. Moderadamente,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,3. Poco,4. Moderadamente,6. Bastante,4. Moderadamente,2. Muy poco,
2017/11/30 9:35:53,Lehen Hezkuntza,1,18,Emakumea,Español,5. Suficiente,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,7. Muy de acuerdo,5. Suficiente,5. Suficiente,2. Muy poco,6. Bastante,4. Moderadamente,4. Moderadamente,2. Muy poco,4. Moderadamente,2. Muy poco,
2017/11/30 9:35:58,Lehen Hezkuntza,1,18,Emakumea,Español,5. Suficiente,6. Bastante,5. Suficiente,5. Suficiente,6. Bastante,6. Bastante,4. Moderadamente,5. Suficiente,4. Moderadamente,3. Poco,5. Suficiente,4. Moderadamente,6. Bastante,6. Bastante,6. Bastante,5. Suficiente,
2017/11/30 9:36:58,Lehen Hezkuntza,1,21,Emakumea,Español,5. Suficiente,3. Poco,5. Suficiente,3. Poco,4. Moderadamente,5. Suficiente,4. Moderadamente,3. Poco,5. Suficiente,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,5. Suficiente,4. Moderadamente,3. Poco,Opción 1
2017/11/30 9:37:27,Lehen Hezkuntza,1,18,Emakumea,Español,4. Moderadamente,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,3. Poco,4. Moderadamente,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,3. Poco,
2017/11/30 10:52:24,Lehen Hezkuntza,1,18,Emakumea,Español,7. Muy de acuerdo,7. Muy de acuerdo,7. Muy de acuerdo,2. Muy poco,4. Moderadamente,5. Suficiente,7. Muy de acuerdo,4. Moderadamente,5. Suficiente,7. Muy de acuerdo,5. Suficiente,2. Muy poco,2. Muy poco,4. Moderadamente,7. Muy de acuerdo,2. Muy poco,Opción 1
2017/11/30 11:13:59,Lehen Hezkuntza,1,18,Emakumea,Español,6. Bastante,5. Suficiente,6. Bastante,2. Muy poco,5. Suficiente,6. Bastante,5. Suficiente,1. No estoy de acuerdo en nada,5. Suficiente,5. Suficiente,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,5. Suficiente,1. No estoy de acuerdo en nada,
2017/11/30 11:18:06,Lehen Hezkuntza,1,19,Emakumea,Español,4. Moderadamente,4. Moderadamente,6. Bastante,5. Suficiente,3. Poco,3. Poco,6. Bastante,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,6. Bastante,3. Poco,3. Poco,5. Suficiente,4. Moderadamente,
2017/11/30 11:20:18,Lehen Hezkuntza,1,22,Emakumea,Español,3. Poco,7. Muy de acuerdo,6. Bastante,4. Moderadamente,2. Muy poco,3. Poco,7. Muy de acuerdo,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,7. Muy de acuerdo,3. Poco,2. Muy poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,4. Moderadamente,
2017/11/30 11:21:44,Lehen Hezkuntza,1,18,Emakumea,Español,4. Moderadamente,4. Moderadamente,3. Poco,3. Poco,2. Muy poco,4. Moderadamente,5. Suficiente,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,
2017/11/30 11:22:39,Lehen Hezkuntza,1,18,Emakumea,Euskara,5. Suficiente,4. Moderadamente,4. Moderadamente,1. No estoy de acuerdo en nada,5. Suficiente,4. Moderadamente,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,4. Moderadamente,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,4. Moderadamente,4. Moderadamente,1. No estoy de acuerdo en nada,Opción 1
2017/11/30 11:23:25,Lehen Hezkuntza,1,18,Emakumea,Español,4. Moderadamente,5. Suficiente,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,6. Bastante,5. Suficiente,4. Moderadamente,3. Poco,5. Suficiente,6. Bastante,4. Moderadamente,3. Poco,6. Bastante,4. Moderadamente,
2017/11/30 11:23:30,Lehen Hezkuntza,1,19,Emakumea,Español,4. Moderadamente,6. Bastante,5. Suficiente,3. Poco,4. Moderadamente,6. Bastante,7. Muy de acuerdo,3. Poco,3. Poco,2. Muy poco,5. Suficiente,3. Poco,4. Moderadamente,5. Suficiente,6. Bastante,3. Poco,Opción 1
2017/11/30 11:23:31,Lehen Hezkuntza,1,18,Emakumea,Euskara,3. Poco,7. Muy de acuerdo,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,4. Moderadamente,4. Moderadamente,
2017/11/30 11:24:08,Lehen Hezkuntza,1,19,Emakumea,Euskara,5. Suficiente,5. Suficiente,6. Bastante,5. Suficiente,4. Moderadamente,5. Suficiente,5. Suficiente,4. Moderadamente,4. Moderadamente,4. Moderadamente,5. Suficiente,4. Moderadamente,5. Suficiente,5. Suficiente,5. Suficiente,4. Moderadamente,Opción 1
2017/11/30 11:25:42,Lehen Hezkuntza,1,19,Emakumea,Español,5. Suficiente,5. Suficiente,5. Suficiente,6. Bastante,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,4. Moderadamente,4. Moderadamente,5. Suficiente,5. Suficiente,4. Moderadamente,5. Suficiente,4. Moderadamente,
2017/11/30 11:29:26,Lehen Hezkuntza,1,17,Emakumea,Euskara,5. Suficiente,6. Bastante,6. Bastante,3. Poco,4. Moderadamente,6. Bastante,6. Bastante,3. Poco,4. Moderadamente,3. Poco,5. Suficiente,5. Suficiente,5. Suficiente,6. Bastante,6. Bastante,3. Poco,Opción 1
2017/11/30 11:31:01,Lehen Hezkuntza,1,19,Emakumea,Euskara,4. Moderadamente,5. Suficiente,4. Moderadamente,4. Moderadamente,6. Bastante,5. Suficiente,6. Bastante,3. Poco,3. Poco,5. Suficiente,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,6. Bastante,4. Moderadamente,Opción 1
2017/11/30 11:31:52,Lehen Hezkuntza,1,19,Emakumea,Español,5. Suficiente,4. Moderadamente,5. Suficiente,3. Poco,5. Suficiente,5. Suficiente,5. Suficiente,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,2. Muy poco,4. Moderadamente,5. Suficiente,5. Suficiente,2. Muy poco,
2017/11/30 11:31:59,Lehen Hezkuntza,1,18,Emakumea,Español,4. Moderadamente,6. Bastante,5. Suficiente,2. Muy poco,4. Moderadamente,5. Suficiente,5. Suficiente,6. Bastante,5. Suficiente,3. Poco,6. Bastante,4. Moderadamente,5. Suficiente,5. Suficiente,3. Poco,4. Moderadamente,Opción 1
2017/11/30 11:32:12,Lehen Hezkuntza,1,18,Emakumea,Euskara,5. Suficiente,3. Poco,4. Moderadamente,2. Muy poco,4. Moderadamente,5. Suficiente,5. Suficiente,3. Poco,4. Moderadamente,3. Poco,3. Poco,3. Poco,6. Bastante,5. Suficiente,5. Suficiente,2. Muy poco,Opción 1
2017/11/30 11:33:44,Lehen Hezkuntza,1,19,Emakumea,Español,6. Bastante,4. Moderadamente,4. Moderadamente,1. No estoy de acuerdo en nada,6. Bastante,5. Suficiente,3. Poco,1. No estoy de acuerdo en nada,5. Suficiente,3. Poco,3. Poco,1. No estoy de acuerdo en nada,6. Bastante,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,Opción 1
2017/11/30 11:41:05,Lehen Hezkuntza,1,18,Emakumea,Español,6. Bastante,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,5. Suficiente,2. Muy poco,5. Suficiente,4. Moderadamente,3. Poco,2. Muy poco,5. Suficiente,5. Suficiente,4. Moderadamente,4. Moderadamente,Opción 1
2017/11/30 11:47:10,Lehen Hezkuntza,1,17,Emakumea,Español,4. Moderadamente,5. Suficiente,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,4. Moderadamente,6. Bastante,4. Moderadamente,4. Moderadamente,4. Moderadamente,6. Bastante,4. Moderadamente,4. Moderadamente,6. Bastante,6. Bastante,4. Moderadamente,
2017/11/30 11:48:05,Lehen Hezkuntza,1,23,Emakumea,Español,4. Moderadamente,4. Moderadamente,5. Suficiente,2. Muy poco,3. Poco,3. Poco,5. Suficiente,4. Moderadamente,3. Poco,4. Moderadamente,2. Muy poco,2. Muy poco,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,
2017/11/30 11:59:12,Lehen Hezkuntza,1,18,Emakumea,Español,2. Muy poco,7. Muy de acuerdo,7. Muy de acuerdo,2. Muy poco,3. Poco,6. Bastante,7. Muy de acuerdo,2. Muy poco,3. Poco,3. Poco,6. Bastante,2. Muy poco,5. Suficiente,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,
2017/11/30 12:01:01,Lehen Hezkuntza,1,18,Emakumea,Español,6. Bastante,6. Bastante,7. Muy de acuerdo,2. Muy poco,5. Suficiente,6. Bastante,6. Bastante,4. Moderadamente,5. Suficiente,3. Poco,7. Muy de acuerdo,2. Muy poco,4. Moderadamente,6. Bastante,6. Bastante,2. Muy poco,Opción 1
2017/11/30 12:02:04,Lehen Hezkuntza,1,18,Emakumea,Euskara,5. Suficiente,7. Muy de acuerdo,6. Bastante,2. Muy poco,7. Muy de acuerdo,5. Suficiente,6. Bastante,2. Muy poco,6. Bastante,3. Poco,5. Suficiente,2. Muy poco,5. Suficiente,4. Moderadamente,2. Muy poco,2. Muy poco,Opción 1
2017/11/30 16:05:48,Lehen Hezkuntza,1,18,Emakumea,Español,6. Bastante,4. Moderadamente,3. Poco,2. Muy poco,5. Suficiente,6. Bastante,4. Moderadamente,2. Muy poco,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,1. No estoy de acuerdo en nada,5. Suficiente,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,Opción 1
2017/11/30 23:45:17,Lehen Hezkuntza,1,18,Emakumea,Euskara,2. Muy poco,7. Muy de acuerdo,2. Muy poco,7. Muy de acuerdo,2. Muy poco,2. Muy poco,7. Muy de acuerdo,6. Bastante,4. Moderadamente,1. No estoy de acuerdo en nada,2. Muy poco,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,
2017/12/1 8:50:19,Lehen Hezkuntza,1,18,Emakumea,Español,5. Suficiente,6. Bastante,6. Bastante,3. Poco,5. Suficiente,6. Bastante,4. Moderadamente,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,3. Poco,5. Suficiente,4. Moderadamente,5. Suficiente,2. Muy poco,Opción 1
2017/12/1 12:34:35,Lehen Hezkuntza,1,19,Emakumea,Euskara,6. Bastante,3. Poco,6. Bastante,3. Poco,5. Suficiente,5. Suficiente,3. Poco,3. Poco,5. Suficiente,6. Bastante,3. Poco,2. Muy poco,6. Bastante,6. Bastante,6. Bastante,3. Poco,Opción 1
2017/12/1 12:59:09,Lehen Hezkuntza,1,18,Emakumea,Español,1. No estoy de acuerdo en nada,7. Muy de acuerdo,3. Poco,4. Moderadamente,1. No estoy de acuerdo en nada,2. Muy poco,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,2. Muy poco,2. Muy poco,4. Moderadamente,4. Moderadamente,Opción 1
2017/12/1 13:07:56,Lehen Hezkuntza,1,18,Emakumea,Español,6. Bastante,3. Poco,4. Moderadamente,2. Muy poco,5. Suficiente,4. Moderadamente,3. Poco,3. Poco,5. Suficiente,7. Muy de acuerdo,3. Poco,3. Poco,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,
2017/12/1 13:14:32,Lehen Hezkuntza,1,19,Emakumea,Español,7. Muy de acuerdo,6. Bastante,6. Bastante,2. Muy poco,6. Bastante,7. Muy de acuerdo,3. Poco,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,6. Bastante,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,
2017/12/1 13:20:42,Lehen Hezkuntza,1,18,Emakumea,Español,2. Muy poco,7. Muy de acuerdo,5. Suficiente,6. Bastante,4. Moderadamente,4. Moderadamente,6. Bastante,5. Suficiente,3. Poco,2. Muy poco,6. Bastante,6. Bastante,2. Muy poco,2. Muy poco,6. Bastante,6. Bastante,
2017/12/1 13:34:48,Lehen Hezkuntza,1,18,Emakumea,Euskara,6. Bastante,1. No estoy de acuerdo en nada,6. Bastante,1. No estoy de acuerdo en nada,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,4. Moderadamente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,2. Muy poco,
2017/12/1 13:34:50,Lehen Hezkuntza,1,24,Emakumea,Español,7. Muy de acuerdo,1. No estoy de acuerdo en nada,6. Bastante,1. No estoy de acuerdo en nada,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,4. Moderadamente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,2. Muy poco,
2017/12/1 13:39:14,Lehen Hezkuntza,1,18,Emakumea,Euskara,3. Poco,6. Bastante,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,6. Bastante,6. Bastante,3. Poco,2. Muy poco,6. Bastante,6. Bastante,3. Poco,4. Moderadamente,6. Bastante,6. Bastante,Opción 1
2017/12/1 16:54:08,Lehen Hezkuntza,1,18,Emakumea,Euskara,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,6. Bastante,5. Suficiente,5. Suficiente,4. Moderadamente,2. Muy poco,6. Bastante,3. Poco,4. Moderadamente,5. Suficiente,5. Suficiente,5. Suficiente,4. Moderadamente,Opción 1
2017/12/1 17:02:33,Lehen Hezkuntza,1,18,Emakumea,Español,5. Suficiente,4. Moderadamente,5. Suficiente,3. Poco,5. Suficiente,5. Suficiente,5. Suficiente,4. Moderadamente,3. Poco,5. Suficiente,3. Poco,4. Moderadamente,4. Moderadamente,5. Suficiente,5. Suficiente,3. Poco,Opción 1
2017/12/1 18:37:01,Lehen Hezkuntza,1,17,Emakumea,Euskara,7. Muy de acuerdo,4. Moderadamente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,6. Bastante,6. Bastante,2. Muy poco,2. Muy poco,6. Bastante,3. Poco,2. Muy poco,2. Muy poco,5. Suficiente,5. Suficiente,6. Bastante,1. No estoy de acuerdo en nada,
2017/12/1 23:44:55,Lehen Hezkuntza,1,18,Emakumea,Euskara,5. Suficiente,5. Suficiente,4. Moderadamente,2. Muy poco,4. Moderadamente,4. Moderadamente,7. Muy de acuerdo,3. Poco,4. Moderadamente,1. No estoy de acuerdo en nada,5. Suficiente,3. Poco,4. Moderadamente,4. Moderadamente,6. Bastante,3. Poco,Opción 1
2017/12/1 23:48:01,Lehen Hezkuntza,1,18,Emakumea,Euskara,5. Suficiente,6. Bastante,5. Suficiente,2. Muy poco,4. Moderadamente,4. Moderadamente,7. Muy de acuerdo,3. Poco,3. Poco,2. Muy poco,6. Bastante,3. Poco,6. Bastante,4. Moderadamente,6. Bastante,3. Poco,
2017/12/2 11:18:06,Lehen Hezkuntza,1,18,Emakumea,Euskara,3. Poco,4. Moderadamente,3. Poco,6. Bastante,2. Muy poco,2. Muy poco,5. Suficiente,6. Bastante,3. Poco,2. Muy poco,6. Bastante,6. Bastante,2. Muy poco,2. Muy poco,3. Poco,5. Suficiente,
2017/12/2 12:03:43,Lehen Hezkuntza,1,18,Emakumea,Español,5. Suficiente,6. Bastante,6. Bastante,3. Poco,3. Poco,6. Bastante,6. Bastante,3. Poco,3. Poco,2. Muy poco,6. Bastante,2. Muy poco,5. Suficiente,6. Bastante,6. Bastante,2. Muy poco,
