Marca temporal,Titulazioa,Kurtsoa,Adina,Género,Lengua materna,1. ¿Porqué participas actualmente en esta actividad? Porque creo que esta actividad es interesante.,2. ¿Porqué participas actualmente en esta actividad? Porque se supone que debo hacerlo.,3. ¿Porqué participas actualmente en esta actividad? Por mi propio bien,"4. ¿Porqué participas actualmente en esta actividad? Puede que haya buenas razones para realizar esta actividad, pero yo no veo ninguna",5. ¿Porqué participas actualmente en esta actividad? Porque disfruto con esta actividad,6. ¿Porqué participas actualmente en esta actividad? Porque creo que esta actividad es buena para mí,7. ¿Porqué participas actualmente en esta actividad? Porque es algo que tengo que hacer,"8. ¿Porqué participas actualmente en esta actividad? Realizo esta actividad, pero no estoy seguro de si vale la pena",9. ¿Porqué participas actualmente en esta actividad? Porque esta actividad es divertida,10. ¿Porqué participas actualmente en esta actividad? Por decisión personal,11. ¿Porqué participas actualmente en esta actividad? Porque no tengo otra alternativa,12. ¿Porqué participas actualmente en esta actividad? No lo sé; no veo qué me aporta esta actividad,13. ¿Porqué participas actualmente en esta actividad? Porque me siento bien realizando esta actividad,14. ¿Porqué participas actualmente en esta actividad? Porque creo que esta actividad es importante para mí,15. ¿Porqué participas actualmente en esta actividad? Porque creo que tengo que hacerlo,"16. ¿Porqué participas actualmente en esta actividad? Hago esta actividad, pero no estoy seguro de que sea conveniente continuar con ella",
2017/3/17 9:21:12,Matematikao Gradua,4,24,Hombre,Español,2. Muy poco,2. Muy poco,4. Moderadamente,5. Suficiente,3. Poco,6. Bastante,4. Moderadamente,2. Muy poco,4. Moderadamente,5. Suficiente,5. Suficiente,5. Suficiente,4. Moderadamente,1. No estoy de acuerdo en nada,3. Poco,4. Moderadamente,
2017/3/17 9:52:10,Publi,1,18,Hombre,Español,2. Muy poco,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,3. Poco,2. Muy poco,7. Muy de acuerdo,2. Muy poco,3. Poco,1. No estoy de acuerdo en nada,6. Bastante,4. Moderadamente,4. Moderadamente,7. Muy de acuerdo,7. Muy de acuerdo,7. Muy de acuerdo,
2017/4/10 9:51:44,Kazetaritza,1,18,Mujer,Español,4. Moderadamente,6. Bastante,2. Muy poco,5. Suficiente,4. Moderadamente,2. Muy poco,7. Muy de acuerdo,5. Suficiente,2. Muy poco,2. Muy poco,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,4. Moderadamente,5. Suficiente,
2017/4/10 9:51:46,Ikus-entzunezko komunikazioa,1.,18,Hombre,Español,5. Suficiente,7. Muy de acuerdo,5. Suficiente,7. Muy de acuerdo,6. Bastante,5. Suficiente,7. Muy de acuerdo,5. Suficiente,6. Bastante,3. Poco,7. Muy de acuerdo,5. Suficiente,4. Moderadamente,2. Muy poco,4. Moderadamente,4. Moderadamente,
2017/4/10 9:52:06,Kazetaritza,1,18,Mujer,Español,6. Bastante,3. Poco,6. Bastante,2. Muy poco,6. Bastante,6. Bastante,3. Poco,2. Muy poco,6. Bastante,3. Poco,4. Moderadamente,2. Muy poco,6. Bastante,6. Bastante,3. Poco,3. Poco,
2017/4/10 9:52:11,Kazetaritza,1,19,Mujer,Español,6. Bastante,4. Moderadamente,5. Suficiente,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,4. Moderadamente,1. No estoy de acuerdo en nada,5. Suficiente,2. Muy poco,4. Moderadamente,1. No estoy de acuerdo en nada,6. Bastante,4. Moderadamente,4. Moderadamente,1. No estoy de acuerdo en nada,
2017/4/10 9:52:25,periodismo,1,18,Mujer,Español,5. Suficiente,6. Bastante,4. Moderadamente,3. Poco,4. Moderadamente,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,2. Muy poco,6. Bastante,3. Poco,5. Suficiente,4. Moderadamente,5. Suficiente,3. Poco,
2017/4/10 9:52:58,Periodismo,Primero,20,Hombre,Español,6. Bastante,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,5. Suficiente,5. Suficiente,5. Suficiente,3. Poco,6. Bastante,6. Bastante,3. Poco,3. Poco,5. Suficiente,5. Suficiente,5. Suficiente,2. Muy poco,
2017/4/10 9:53:04,comunicación audiovisual,1,18,Mujer,Español,6. Bastante,5. Suficiente,4. Moderadamente,2. Muy poco,5. Suficiente,5. Suficiente,5. Suficiente,4. Moderadamente,5. Suficiente,3. Poco,4. Moderadamente,2. Muy poco,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,
2017/4/10 9:53:09,Kazetaritza,1,18,Hombre,Euskara,3. Poco,6. Bastante,4. Moderadamente,5. Suficiente,2. Muy poco,3. Poco,6. Bastante,4. Moderadamente,3. Poco,4. Moderadamente,6. Bastante,6. Bastante,3. Poco,4. Moderadamente,4. Moderadamente,5. Suficiente,
2017/4/10 9:53:32,Kazetaritza,1,18,Hombre,Español,4. Moderadamente,6. Bastante,2. Muy poco,4. Moderadamente,3. Poco,3. Poco,1. No estoy de acuerdo en nada,6. Bastante,3. Poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,4. Moderadamente,3. Poco,2. Muy poco,3. Poco,4. Moderadamente,
2017/4/10 9:54:11,Periodismo,1º,18,Hombre,Español,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,7. Muy de acuerdo,3. Poco,1. No estoy de acuerdo en nada,4. Moderadamente,4. Moderadamente,4. Moderadamente,3. Poco,
2017/4/10 9:54:20,Kazetaritza,Lehenengo maila,19,Mujer,Español,4. Moderadamente,5. Suficiente,6. Bastante,3. Poco,4. Moderadamente,5. Suficiente,6. Bastante,7. Muy de acuerdo,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,3. Poco,4. Moderadamente,5. Suficiente,2. Muy poco,
2017/4/10 9:54:29,Grado en Publidad y Relaciones Publicas,1,18,Hombre,Español,6. Bastante,3. Poco,5. Suficiente,2. Muy poco,6. Bastante,5. Suficiente,4. Moderadamente,4. Moderadamente,5. Suficiente,6. Bastante,6. Bastante,3. Poco,5. Suficiente,4. Moderadamente,5. Suficiente,5. Suficiente,
2017/4/10 9:54:49,Publicidad y Relaciones Publicas,1,18,Mujer,Euskara,5. Suficiente,7. Muy de acuerdo,7. Muy de acuerdo,2. Muy poco,2. Muy poco,7. Muy de acuerdo,7. Muy de acuerdo,5. Suficiente,4. Moderadamente,1. No estoy de acuerdo en nada,7. Muy de acuerdo,2. Muy poco,4. Moderadamente,6. Bastante,7. Muy de acuerdo,2. Muy poco,
2017/4/10 9:55:28,Kazetaritza,1,20,Hombre,Euskara,7. Muy de acuerdo,3. Poco,7. Muy de acuerdo,1. No estoy de acuerdo en nada,6. Bastante,7. Muy de acuerdo,5. Suficiente,3. Poco,6. Bastante,6. Bastante,2. Muy poco,2. Muy poco,6. Bastante,6. Bastante,5. Suficiente,2. Muy poco,
2017/4/10 9:55:35,Kazetaritz,3,23,Hombre,Euskara,5. Suficiente,4. Moderadamente,2. Muy poco,4. Moderadamente,2. Muy poco,2. Muy poco,7. Muy de acuerdo,4. Moderadamente,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,
2017/4/10 9:55:47,Comunicación Audiovisual,1,19,Mujer,Español,2. Muy poco,7. Muy de acuerdo,5. Suficiente,2. Muy poco,3. Poco,5. Suficiente,6. Bastante,6. Bastante,2. Muy poco,1. No estoy de acuerdo en nada,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,4. Moderadamente,6. Bastante,
2017/4/10 9:56:49,Kazetaritza,1,20,Hombre,Euskara,5. Suficiente,7. Muy de acuerdo,6. Bastante,4. Moderadamente,5. Suficiente,5. Suficiente,6. Bastante,4. Moderadamente,5. Suficiente,3. Poco,6. Bastante,4. Moderadamente,5. Suficiente,5. Suficiente,6. Bastante,2. Muy poco,
2017/4/10 9:56:55,Publicidad y Relaciones Públicas ,1,18,Mujer,Español,4. Moderadamente,4. Moderadamente,3. Poco,3. Poco,4. Moderadamente,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,3. Poco,3. Poco,3. Poco,3. Poco,3. Poco,4. Moderadamente,3. Poco,
2017/4/10 9:57:24,Publicidad y relaciones publicas,primero,18,Mujer,Español,4. Moderadamente,6. Bastante,1. No estoy de acuerdo en nada,4. Moderadamente,3. Poco,3. Poco,6. Bastante,6. Bastante,3. Poco,3. Poco,5. Suficiente,3. Poco,4. Moderadamente,3. Poco,4. Moderadamente,4. Moderadamente,
2017/4/10 9:59:40,Grado de Periodismo,1,19,Mujer,Español,6. Bastante,5. Suficiente,5. Suficiente,2. Muy poco,6. Bastante,6. Bastante,5. Suficiente,3. Poco,6. Bastante,6. Bastante,2. Muy poco,3. Poco,6. Bastante,6. Bastante,4. Moderadamente,2. Muy poco,
2017/4/10 10:00:23,Periodismo,1,19 años,Mujer,Euskara,4. Moderadamente,6. Bastante,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,5. Suficiente,4. Moderadamente,3. Poco,3. Poco,6. Bastante,5. Suficiente,5. Suficiente,2. Muy poco,5. Suficiente,6. Bastante,
2017/4/10 10:03:52,kazetaritza,1.,20,Mujer,Euskara,3. Poco,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,4. Moderadamente,5. Suficiente,3. Poco,3. Poco,5. Suficiente,4. Moderadamente,3. Poco,3. Poco,5. Suficiente,5. Suficiente,
2017/4/10 10:04:12,Periodismo,1,18,Mujer,Euskara,5. Suficiente,3. Poco,5. Suficiente,2. Muy poco,4. Moderadamente,6. Bastante,4. Moderadamente,3. Poco,4. Moderadamente,2. Muy poco,4. Moderadamente,2. Muy poco,3. Poco,3. Poco,4. Moderadamente,3. Poco,
2017/4/11 11:28:58,Publicidad y relaciones publicas,1,19,Mujer,Euskara,1. No estoy de acuerdo en nada,6. Bastante,2. Muy poco,4. Moderadamente,5. Suficiente,3. Poco,6. Bastante,3. Poco,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,3. Poco,4. Moderadamente,1. No estoy de acuerdo en nada,4. Moderadamente,2. Muy poco,
2017/4/11 11:30:05,Publicidad y relaciones publicas,1,19,Mujer,Español,6. Bastante,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,2. Muy poco,2. Muy poco,4. Moderadamente,6. Bastante,5. Suficiente,2. Muy poco,
2017/4/11 11:30:23,Periodismo,1,18,Mujer,Euskara,7. Muy de acuerdo,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,4. Moderadamente,1. No estoy de acuerdo en nada,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,
2017/4/11 11:30:24,Periodismo,Primero,18,Hombre,Euskara,4. Moderadamente,7. Muy de acuerdo,4. Moderadamente,3. Poco,5. Suficiente,3. Poco,7. Muy de acuerdo,3. Poco,3. Poco,5. Suficiente,7. Muy de acuerdo,3. Poco,3. Poco,5. Suficiente,7. Muy de acuerdo,2. Muy poco,
2017/4/11 11:30:25,publicidad,1,18,Mujer,Español,4. Moderadamente,6. Bastante,6. Bastante,2. Muy poco,6. Bastante,7. Muy de acuerdo,5. Suficiente,3. Poco,6. Bastante,1. No estoy de acuerdo en nada,3. Poco,3. Poco,6. Bastante,3. Poco,6. Bastante,1. No estoy de acuerdo en nada,
2017/4/11 11:30:26,Periodismo,1,18,Mujer,Euskara,6. Bastante,3. Poco,6. Bastante,2. Muy poco,6. Bastante,6. Bastante,5. Suficiente,3. Poco,6. Bastante,5. Suficiente,3. Poco,2. Muy poco,5. Suficiente,6. Bastante,4. Moderadamente,2. Muy poco,
2017/4/11 11:30:43,Comunicación Audiovisual,1,19,Hombre,Español,4. Moderadamente,5. Suficiente,4. Moderadamente,3. Poco,5. Suficiente,4. Moderadamente,6. Bastante,3. Poco,5. Suficiente,1. No estoy de acuerdo en nada,6. Bastante,3. Poco,4. Moderadamente,3. Poco,3. Poco,1. No estoy de acuerdo en nada,
2017/4/11 11:30:43,Audiovisuales,1,18,Mujer,Euskara,4. Moderadamente,6. Bastante,3. Poco,3. Poco,4. Moderadamente,4. Moderadamente,6. Bastante,4. Moderadamente,4. Moderadamente,2. Muy poco,5. Suficiente,3. Poco,3. Poco,3. Poco,5. Suficiente,4. Moderadamente,
2017/4/11 11:30:49,periodismo,1,19,Mujer,Euskara,3. Poco,6. Bastante,5. Suficiente,3. Poco,3. Poco,5. Suficiente,5. Suficiente,3. Poco,3. Poco,1. No estoy de acuerdo en nada,4. Moderadamente,3. Poco,3. Poco,5. Suficiente,6. Bastante,2. Muy poco,
2017/4/11 11:31:16,Periodismo,Primer curso,18,Mujer,Euskara,6. Bastante,6. Bastante,6. Bastante,2. Muy poco,5. Suficiente,6. Bastante,6. Bastante,4. Moderadamente,6. Bastante,6. Bastante,5. Suficiente,2. Muy poco,5. Suficiente,5. Suficiente,5. Suficiente,2. Muy poco,
2017/4/11 11:32:02,Publicidad y Relaciones Públicas,1º,18,Hombre,Euskara,7. Muy de acuerdo,4. Moderadamente,5. Suficiente,1. No estoy de acuerdo en nada,6. Bastante,7. Muy de acuerdo,5. Suficiente,1. No estoy de acuerdo en nada,6. Bastante,3. Poco,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,
2017/4/11 11:32:27,Comunicación Audiovisual,1,18,Hombre,Euskara,6. Bastante,3. Poco,6. Bastante,3. Poco,5. Suficiente,6. Bastante,6. Bastante,3. Poco,5. Suficiente,3. Poco,3. Poco,3. Poco,4. Moderadamente,5. Suficiente,5. Suficiente,3. Poco,
2017/4/11 11:32:42,Periodismo,Primero,18,Hombre,Euskara,6. Bastante,7. Muy de acuerdo,6. Bastante,2. Muy poco,6. Bastante,6. Bastante,6. Bastante,4. Moderadamente,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,2. Muy poco,6. Bastante,6. Bastante,6. Bastante,2. Muy poco,
2017/4/11 11:32:47,Comunicacion audiovisual,Primer curso,18,Mujer,Euskara,4. Moderadamente,6. Bastante,6. Bastante,3. Poco,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,3. Poco,6. Bastante,3. Poco,5. Suficiente,4. Moderadamente,6. Bastante,3. Poco,
2017/4/11 11:32:47,Ikus entzunezko komunikazioa,1°,18,Hombre,Euskara,1. No estoy de acuerdo en nada,7. Muy de acuerdo,1. No estoy de acuerdo en nada,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,
2017/4/11 11:33:05,Kazetaritza,1,19,Mujer,Español,6. Bastante,6. Bastante,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,5. Suficiente,7. Muy de acuerdo,2. Muy poco,7. Muy de acuerdo,2. Muy poco,7. Muy de acuerdo,1. No estoy de acuerdo en nada,6. Bastante,5. Suficiente,7. Muy de acuerdo,2. Muy poco,
2017/4/11 11:33:26,periodismo,1,19,Mujer,Español,4. Moderadamente,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,5. Suficiente,6. Bastante,7. Muy de acuerdo,1. No estoy de acuerdo en nada,6. Bastante,1. No estoy de acuerdo en nada,7. Muy de acuerdo,2. Muy poco,4. Moderadamente,5. Suficiente,7. Muy de acuerdo,1. No estoy de acuerdo en nada,
2017/4/11 11:33:56,Audiovisuales ,1,18,Hombre,Euskara,1. No estoy de acuerdo en nada,4. Moderadamente,1. No estoy de acuerdo en nada,5. Suficiente,1. No estoy de acuerdo en nada,2. Muy poco,5. Suficiente,6. Bastante,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,
2017/4/27 14:40:03,Grado en Matemáticas,Cuarto,22,Hombre,Euskara,4. Moderadamente,7. Muy de acuerdo,4. Moderadamente,2. Muy poco,5. Suficiente,4. Moderadamente,4. Moderadamente,3. Poco,5. Suficiente,1. No estoy de acuerdo en nada,7. Muy de acuerdo,2. Muy poco,5. Suficiente,3. Poco,5. Suficiente,1. No estoy de acuerdo en nada,
2017/4/27 14:40:32,Grado en Matemáticas,4º,24,Mujer,Español,3. Poco,6. Bastante,5. Suficiente,5. Suficiente,3. Poco,4. Moderadamente,6. Bastante,4. Moderadamente,3. Poco,3. Poco,6. Bastante,3. Poco,3. Poco,5. Suficiente,6. Bastante,4. Moderadamente,
2017/4/27 14:41:40,Grado en Matemáticas,4,24,Mujer,Español,3. Poco,7. Muy de acuerdo,2. Muy poco,4. Moderadamente,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,4. Moderadamente,1. No estoy de acuerdo en nada,1. No estoy de acuerdo en nada,7. Muy de acuerdo,7. Muy de acuerdo,2. Muy poco,4. Moderadamente,5. Suficiente,4. Moderadamente,
2017/4/27 14:41:46,Matematicas,4,22,Mujer,Español,3. Poco,7. Muy de acuerdo,3. Poco,4. Moderadamente,2. Muy poco,4. Moderadamente,7. Muy de acuerdo,6. Bastante,3. Poco,1. No estoy de acuerdo en nada,6. Bastante,4. Moderadamente,3. Poco,2. Muy poco,6. Bastante,4. Moderadamente,
2017/4/27 14:42:21,Matematica,4,21,Hombre,Español,5. Suficiente,4. Moderadamente,2. Muy poco,2. Muy poco,3. Poco,3. Poco,7. Muy de acuerdo,3. Poco,3. Poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,3. Poco,5. Suficiente,2. Muy poco,4. Moderadamente,3. Poco,
2017/4/27 14:42:33,Matematika,4,21,Mujer,Euskara,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,2. Muy poco,4. Moderadamente,5. Suficiente,4. Moderadamente,4. Moderadamente,7. Muy de acuerdo,5. Suficiente,3. Poco,4. Moderadamente,4. Moderadamente,5. Suficiente,3. Poco,
2017/4/27 14:42:46,Grado en Matemática,4,22,Mujer,Euskara,6. Bastante,6. Bastante,3. Poco,2. Muy poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,5. Suficiente,2. Muy poco,5. Suficiente,3. Poco,4. Moderadamente,4. Moderadamente,4. Moderadamente,2. Muy poco,
2017/4/27 14:42:55,matematika,4,21,Mujer,Euskara,3. Poco,7. Muy de acuerdo,5. Suficiente,5. Suficiente,3. Poco,4. Moderadamente,7. Muy de acuerdo,3. Poco,3. Poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,2. Muy poco,6. Bastante,1. No estoy de acuerdo en nada,
2017/4/27 14:43:29,Grado en Matematicas,4º,22,Mujer,Euskara,3. Poco,6. Bastante,6. Bastante,5. Suficiente,4. Moderadamente,5. Suficiente,5. Suficiente,2. Muy poco,3. Poco,7. Muy de acuerdo,1. No estoy de acuerdo en nada,6. Bastante,5. Suficiente,6. Bastante,6. Bastante,7. Muy de acuerdo,
2017/4/27 14:44:00,Grado de matematica,cuarto curso,23,Hombre,Euskara,4. Moderadamente,4. Moderadamente,5. Suficiente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,4. Moderadamente,7. Muy de acuerdo,7. Muy de acuerdo,1. No estoy de acuerdo en nada,7. Muy de acuerdo,4. Moderadamente,4. Moderadamente,4. Moderadamente,
2017/4/27 14:44:14,Grado en Matemáticas,4,38,Hombre,Euskara,5. Suficiente,7. Muy de acuerdo,7. Muy de acuerdo,7. Muy de acuerdo,3. Poco,4. Moderadamente,1. No estoy de acuerdo en nada,2. Muy poco,3. Poco,5. Suficiente,7. Muy de acuerdo,6. Bastante,3. Poco,2. Muy poco,6. Bastante,3. Poco,
2017/4/27 14:44:19,Grado en matemáticas,4,22,Mujer,Euskara,6. Bastante,4. Moderadamente,6. Bastante,2. Muy poco,5. Suficiente,6. Bastante,4. Moderadamente,2. Muy poco,4. Moderadamente,7. Muy de acuerdo,2. Muy poco,1. No estoy de acuerdo en nada,7. Muy de acuerdo,6. Bastante,3. Poco,1. No estoy de acuerdo en nada,
2017/4/27 14:44:20,Grado en matemáticas,4,22,Mujer,Español,5. Suficiente,4. Moderadamente,4. Moderadamente,2. Muy poco,4. Moderadamente,5. Suficiente,5. Suficiente,5. Suficiente,5. Suficiente,3. Poco,3. Poco,4. Moderadamente,5. Suficiente,4. Moderadamente,4. Moderadamente,4. Moderadamente,
